EPIC,DATETIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,2019-07-26 01:14:00,1.24535,1.24535,1.24523,1.24528,75940.0024
GBPUSD,2019-07-26 01:15:00,1.2453,1.24538,1.2453,1.24533,45700.0008
GBPUSD,2019-07-26 01:16:00,1.24534,1.24542,1.24534,1.24542,25879.9992
GBPUSD,2019-07-26 01:17:00,1.24545,1.24551,1.24542,1.24551,43750
GBPUSD,2019-07-26 01:18:00,1.2455,1.24551,1.2455,1.2455,7730
GBPUSD,2019-07-26 01:19:00,1.2455,1.24551,1.24542,1.24543,40900.0015
GBPUSD,2019-07-26 01:20:00,1.24543,1.24543,1.24535,1.24539,64879.9973
GBPUSD,2019-07-26 01:21:00,1.24541,1.24541,1.24538,1.24538,14390.0003
GBPUSD,2019-07-26 01:22:00,1.24538,1.24543,1.24538,1.24541,50950.0008
GBPUSD,2019-07-26 01:23:00,1.24541,1.24543,1.24541,1.24541,29620.0008
GBPUSD,2019-07-26 01:24:00,1.24544,1.2455,1.24544,1.24547,76040.0009
GBPUSD,2019-07-26 01:25:00,1.24547,1.24547,1.24543,1.24545,62860.0006
GBPUSD,2019-07-26 01:26:00,1.24547,1.24547,1.24537,1.24546,90139.9994
GBPUSD,2019-07-26 01:27:00,1.24546,1.24546,1.24544,1.24544,13479.9995
GBPUSD,2019-07-26 01:28:00,1.24545,1.24552,1.24544,1.24551,59180.0003
GBPUSD,2019-07-26 01:29:00,1.24551,1.24551,1.24547,1.24549,82449.9969
GBPUSD,2019-07-26 01:30:00,1.24551,1.24562,1.24551,1.24551,74589.9963
GBPUSD,2019-07-26 01:31:00,1.24552,1.24552,1.24543,1.24543,20799.9992
GBPUSD,2019-07-26 01:32:00,1.24544,1.24546,1.24534,1.24539,97330.0018
GBPUSD,2019-07-26 01:33:00,1.24539,1.24543,1.24535,1.24542,99169.9982
GBPUSD,2019-07-26 01:34:00,1.24541,1.24542,1.24537,1.24541,55220.0012
GBPUSD,2019-07-26 01:35:00,1.24542,1.24544,1.2454,1.24543,56270.0005
GBPUSD,2019-07-26 01:36:00,1.24542,1.24543,1.24536,1.24541,49090.0002
GBPUSD,2019-07-26 01:37:00,1.2454,1.24542,1.24537,1.24538,38180.0003
GBPUSD,2019-07-26 01:38:00,1.24542,1.24542,1.24534,1.24541,87080.0018
GBPUSD,2019-07-26 01:39:00,1.24541,1.24541,1.24532,1.24534,69019.9966
GBPUSD,2019-07-26 01:40:00,1.24534,1.24538,1.24533,1.24535,60680.0003
GBPUSD,2019-07-26 01:41:00,1.24533,1.24535,1.24531,1.24531,21950.0008
GBPUSD,2019-07-26 01:42:00,1.24531,1.24531,1.2453,1.24531,19280.0007
GBPUSD,2019-07-26 01:43:00,1.24531,1.24531,1.24521,1.24521,50500
GBPUSD,2019-07-26 01:44:00,1.24519,1.24522,1.24512,1.24513,60830.0018
GBPUSD,2019-07-26 01:45:00,1.24512,1.24513,1.24512,1.24513,5699.9998
GBPUSD,2019-07-26 01:46:00,1.24511,1.24512,1.24511,1.24511,72120.0027
GBPUSD,2019-07-26 01:47:00,1.24511,1.24515,1.2451,1.24514,59630.0011
GBPUSD,2019-07-26 01:48:00,1.24513,1.24514,1.2451,1.24511,35529.9988
GBPUSD,2019-07-26 01:49:00,1.24513,1.24522,1.24512,1.24522,48729.9995
GBPUSD,2019-07-26 01:50:00,1.24519,1.24527,1.24519,1.24523,21329.9999
GBPUSD,2019-07-26 01:51:00,1.24523,1.24525,1.24521,1.24522,23690.0005
GBPUSD,2019-07-26 01:52:00,1.24523,1.24527,1.24522,1.24523,55200.0008
GBPUSD,2019-07-26 01:53:00,1.24521,1.24526,1.24521,1.24524,19520.0005
GBPUSD,2019-07-26 01:54:00,1.24525,1.24525,1.24522,1.24522,7540
GBPUSD,2019-07-26 01:55:00,1.24521,1.24523,1.24521,1.24522,13520.0005
GBPUSD,2019-07-26 01:56:00,1.24523,1.24529,1.24521,1.24529,15460
GBPUSD,2019-07-26 01:57:00,1.24529,1.24529,1.24522,1.24528,75139.9994
GBPUSD,2019-07-26 01:58:00,1.24527,1.24528,1.24495,1.24501,127540.0009
GBPUSD,2019-07-26 01:59:00,1.24501,1.24511,1.245,1.24511,49990.0017
GBPUSD,2019-07-26 02:00:00,1.24518,1.24529,1.24518,1.24527,123059.9976
GBPUSD,2019-07-26 02:01:00,1.24528,1.24532,1.24527,1.24531,81010.0021
GBPUSD,2019-07-26 02:02:00,1.24533,1.24536,1.24529,1.2453,50979.9995
GBPUSD,2019-07-26 02:03:00,1.24532,1.24532,1.24521,1.24521,67599.9985
GBPUSD,2019-07-26 02:04:00,1.2452,1.24528,1.2452,1.24528,33189.9986
GBPUSD,2019-07-26 02:05:00,1.24529,1.24532,1.24526,1.24531,132539.9933
GBPUSD,2019-07-26 02:06:00,1.2453,1.24533,1.24529,1.24531,48229.9995
GBPUSD,2019-07-26 02:07:00,1.24533,1.24543,1.24533,1.24542,43400.0015
GBPUSD,2019-07-26 02:08:00,1.24542,1.24544,1.24534,1.24537,49479.9995
GBPUSD,2019-07-26 02:09:00,1.24536,1.24536,1.24533,1.24533,18379.9992
GBPUSD,2019-07-26 02:10:00,1.24532,1.24532,1.24532,1.24532,1720
GBPUSD,2019-07-26 02:11:00,1.24531,1.24532,1.24521,1.24522,60500
GBPUSD,2019-07-26 02:12:00,1.24523,1.24531,1.2452,1.24521,68069.9997
GBPUSD,2019-07-26 02:13:00,1.24522,1.24531,1.24522,1.24529,56729.9995
GBPUSD,2019-07-26 02:14:00,1.24529,1.24535,1.24526,1.24534,144460.0067
GBPUSD,2019-07-26 02:15:00,1.24533,1.24536,1.24532,1.24534,50580.0018
GBPUSD,2019-07-26 02:16:00,1.24534,1.24535,1.24532,1.24533,49430.0003
GBPUSD,2019-07-26 02:17:00,1.24533,1.24534,1.24532,1.24534,41509.9983
GBPUSD,2019-07-26 02:18:00,1.24534,1.24534,1.24533,1.24533,108319.9997
GBPUSD,2019-07-26 02:19:00,1.24533,1.24534,1.24532,1.24532,27120.0008
GBPUSD,2019-07-26 02:20:00,1.24531,1.24531,1.24531,1.24531,5420.0001
GBPUSD,2019-07-26 02:21:00,1.24531,1.24532,1.24531,1.24532,2599.9999
GBPUSD,2019-07-26 02:22:00,1.2453,1.2453,1.2452,1.24522,28549.9992
GBPUSD,2019-07-26 02:23:00,1.24523,1.24523,1.24522,1.24522,3700
GBPUSD,2019-07-26 02:24:00,1.24522,1.24524,1.24522,1.24523,20780.0007
GBPUSD,2019-07-26 02:25:00,1.24523,1.24524,1.24521,1.24523,11750
GBPUSD,2019-07-26 02:26:00,1.24524,1.24524,1.24522,1.24523,27059.9995
GBPUSD,2019-07-26 02:27:00,1.24523,1.24523,1.24522,1.24522,9420.0001
GBPUSD,2019-07-26 02:28:00,1.24521,1.24521,1.2452,1.24521,17569.9997
GBPUSD,2019-07-26 02:29:00,1.2452,1.2452,1.24519,1.2452,15869.9999
GBPUSD,2019-07-26 02:30:00,1.24518,1.24518,1.2451,1.2451,40520.0005
GBPUSD,2019-07-26 02:31:00,1.24511,1.24511,1.24498,1.24501,47799.9992
GBPUSD,2019-07-26 02:32:00,1.24501,1.24502,1.245,1.24501,7469.9998
GBPUSD,2019-07-26 02:33:00,1.24502,1.24504,1.24496,1.24499,23690.0005
GBPUSD,2019-07-26 02:34:00,1.24499,1.24501,1.24497,1.24501,26520.0005
GBPUSD,2019-07-26 02:35:00,1.245,1.24502,1.245,1.24501,28989.9998
GBPUSD,2019-07-26 02:36:00,1.24501,1.24509,1.24501,1.24501,60330.0018
GBPUSD,2019-07-26 02:37:00,1.24501,1.24504,1.24501,1.24504,10930.0003
GBPUSD,2019-07-26 02:38:00,1.24508,1.24511,1.24506,1.2451,15510.0002
GBPUSD,2019-07-26 02:39:00,1.2451,1.24512,1.2451,1.2451,22100.0004
GBPUSD,2019-07-26 02:40:00,1.24512,1.24512,1.2451,1.24512,26909.9998
GBPUSD,2019-07-26 02:41:00,1.24511,1.24515,1.24511,1.24513,25309.9995
GBPUSD,2019-07-26 02:42:00,1.24519,1.24523,1.24519,1.24522,9140.0003
GBPUSD,2019-07-26 02:43:00,1.24524,1.24524,1.24523,1.24523,18370.0008
GBPUSD,2019-07-26 02:44:00,1.24523,1.24528,1.24521,1.24523,29569.9997
GBPUSD,2019-07-26 02:45:00,1.24523,1.24524,1.2452,1.24524,28040.0009
GBPUSD,2019-07-26 02:46:00,1.24522,1.24522,1.24511,1.24511,27819.9997
GBPUSD,2019-07-26 02:47:00,1.24511,1.24511,1.245,1.24502,31270.0005
GBPUSD,2019-07-26 02:48:00,1.24502,1.24508,1.24501,1.24505,39459.9991
GBPUSD,2019-07-26 02:49:00,1.24505,1.24505,1.245,1.24503,53139.9994
GBPUSD,2019-07-26 02:50:00,1.24501,1.24506,1.24501,1.24506,19290.0009
GBPUSD,2019-07-26 02:51:00,1.24504,1.24506,1.24502,1.24503,45360.0006
GBPUSD,2019-07-26 02:52:00,1.24502,1.24502,1.24496,1.24502,26760.0002
GBPUSD,2019-07-26 02:53:00,1.24501,1.24502,1.24499,1.24502,56380.0011
GBPUSD,2019-07-26 02:54:00,1.24502,1.24502,1.24501,1.24501,10250
GBPUSD,2019-07-26 02:55:00,1.24501,1.24504,1.245,1.24502,28129.9992
GBPUSD,2019-07-26 02:56:00,1.24502,1.24502,1.24491,1.24494,57750
GBPUSD,2019-07-26 02:57:00,1.24495,1.24495,1.24493,1.24494,16969.9993
GBPUSD,2019-07-26 02:58:00,1.24492,1.24492,1.24483,1.24484,31110.0006
GBPUSD,2019-07-26 02:59:00,1.24486,1.24486,1.24482,1.24482,31049.9992
GBPUSD,2019-07-26 03:00:00,1.24482,1.24492,1.24482,1.24485,66589.9963
GBPUSD,2019-07-26 03:01:00,1.24486,1.24486,1.24481,1.24481,8819.9997
GBPUSD,2019-07-26 03:02:00,1.24481,1.24484,1.24481,1.24483,7929.9998
GBPUSD,2019-07-26 03:03:00,1.2448,1.2448,1.24471,1.24471,30799.9992
GBPUSD,2019-07-26 03:04:00,1.24471,1.24471,1.24471,1.24471,6020
